SampleID	Label	Extraction_type	Simple_extraction	Environment	Competition	Density	Plate	Extr_Env_Comp_Den	Env_Comp_Den	Extr_Env
16s-I-G-M-20-108_S204_L001	I.G.M.20_108	Water	Water	G	Intraspecific	20	2	I.G.M.20	G-Intraspecific-20	W_G
16s-I-G-M-20-117_S213_L001	I.G.M.20_117	Water	Water	G	Intraspecific	20	2	I.G.M.20	G-Intraspecific-20	W_G
16s-I-G-M-20-127_S223_L001	I.G.M.20_127	Water	Water	G	Intraspecific	20	2	I.G.M.20	G-Intraspecific-20	W_G
16s-I-G-M-20-136_S232_L001	I.G.M.20_136	Water	Water	G	Intraspecific	20	2	I.G.M.20	G-Intraspecific-20	W_G
16s-I-G-M-20-146_S242_L001	I.G.M.20_146	Water	Water	G	Intraspecific	20	2	I.G.M.20	G-Intraspecific-20	W_G
16s-I-G-M-40-109_S205_L001	I.G.M.40_109	Water	Water	G	Intraspecific	40	2	I.G.M.40	G-Intraspecific-40	W_G
16s-I-G-M-40-118_S214_L001	I.G.M.40_118	Water	Water	G	Intraspecific	40	2	I.G.M.40	G-Intraspecific-40	W_G
16s-I-G-M-40-128_S224_L001	I.G.M.40_128	Water	Water	G	Intraspecific	40	2	I.G.M.40	G-Intraspecific-40	W_G
16s-I-G-M-40-137_S233_L001	I.G.M.40_137	Water	Water	G	Intraspecific	40	2	I.G.M.40	G-Intraspecific-40	W_G
16s-I-G-M-40-147_S243_L001	I.G.M.40_147	Water	Water	G	Intraspecific	40	2	I.G.M.40	G-Intraspecific-40	W_G
16s-I-G-MS-20-110_S206_L001	I.G.MS.20_110	Water	Water	G	Interspecific	20	2	I.G.MS.20	G-Interspecific-20	W_G
16s-I-G-MS-20-119_S215_L001	I.G.MS.20_119	Water	Water	G	Interspecific	20	2	I.G.MS.20	G-Interspecific-20	W_G
16s-I-G-MS-20-129_S225_L001	I.G.MS.20_129	Water	Water	G	Interspecific	20	2	I.G.MS.20	G-Interspecific-20	W_G
16s-I-G-MS-20-138_S234_L001	I.G.MS.20_138	Water	Water	G	Interspecific	20	2	I.G.MS.20	G-Interspecific-20	W_G
16s-I-G-MS-20-148_S244_L001	I.G.MS.20_148	Water	Water	G	Interspecific	20	2	I.G.MS.20	G-Interspecific-20	W_G
16s-I-G-MS-40-111_S207_L001	I.G.MS.40_111	Water	Water	G	Interspecific	40	2	I.G.MS.40	G-Interspecific-40	W_G
16s-I-G-MS-40-120_S216_L001	I.G.MS.40_120	Water	Water	G	Interspecific	40	2	I.G.MS.40	G-Interspecific-40	W_G
16s-I-G-MS-40-139_S235_L001	I.G.MS.40_139	Water	Water	G	Interspecific	40	2	I.G.MS.40	G-Interspecific-40	W_G
16s-I-G-MS-40-149_S245_L001	I.G.MS.40_149	Water	Water	G	Interspecific	40	2	I.G.MS.40	G-Interspecific-40	W_G
16s-I-G-STOCK-155_S251_L001	I.G.STOCK_155	Water	Stock Water	G	Stock Water	Stock Water	2	I.G.STOCK	Stock Water	W_G
16s-I-G-STOCK-156_S252_L001	I.G.STOCK_156	Water	Stock Water	G	Stock Water	Stock Water	2	I.G.STOCK	Stock Water	W_G
