""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"b50f393b7619943a1a1769cd4945f472"	9.19122124070739	17.3803934309461	3.40163801653953	5.10941885833787	3.23151234705872e-07	1.13102932147055e-05	"Bacteria"	"Deferribacterota"	"Deferribacteres"	"Deferribacterales"	"Deferribacteraceae"	NA	NA
"31627d2dcb76a82fb5fd7f3d4090f277"	0.657344746013184	3.0534035497803	4.45902455564971	0.684769395564675	0.4934894504942	0.719672115304041	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Defluviitaleaceae"	NA	NA
"55a8ea6e5b49b0f43822683281aadc5e"	3379.14484775818	0.626071791047231	0.603429945956414	1.03752191160306	0.299492689359378	0.56385509199902	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	NA	NA
"4605b4e0b051a40fbc858821f0ffbdbc"	35.5658864370657	-5.83282269525831	1.67058857374073	-3.4914776665793	0.000480356622797169	0.00840624089895046	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcaceae"	NA	NA
"f5bfbde3edde8606b5addd5f4b54e38e"	237.867691265896	-3.08778038845675	1.11422224962083	-2.77124280143169	0.0055842769341151	0.0536803485159555	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	NA	NA
"371ccc585b1c9805b22125c63b947d18"	8.53706404121325	-2.0526271158365	1.90488547381948	-1.07755933049392	0.281230459988252	0.56385509199902	"Bacteria"	"Firmicutes"	"Clostridia"	"Monoglobales"	"Monoglobaceae"	NA	NA
"e5203349294295a840b5c4164739a1c5"	9.24422639103179	-0.233789940735308	1.78790974620687	-0.130761600931649	0.895963900127017	0.979960515763925	"Bacteria"	"Firmicutes"	"Bacilli"	"Acholeplasmatales"	"Acholeplasmataceae"	NA	NA
"ec4a5effb7c251ba68e85067c20f8204"	16.3396639338339	0.888540592822317	1.11872713579169	0.794242460377543	0.427054294117588	0.679404558823436	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Butyricicoccaceae"	NA	NA
"c2b05bd98967bfaee7026d447d61c3ec"	765.838795401198	0.549795376708446	0.531385537835186	1.03464497537562	0.300834741834202	0.56385509199902	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	NA	NA
"4ac165069a002361cc89a03dc81352c9"	545.659224614473	-0.283829890680772	0.973818756305605	-0.291460694141426	0.770699001062959	0.899148834573452	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	NA	NA
"0100918f05bf485e87db8a6998d7f6ec"	1499.41315630806	-1.27923087132965	0.635760589140163	-2.01212672377153	0.0442065802800682	0.205578549795706	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"Saccharimonadaceae"	NA	NA
"ed2071bf7db537a6936111d7ba0c0763"	23.1707004712249	1.00143928151284	0.978488822344669	1.0234550039245	0.306092764228039	0.56385509199902	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"UCG-010"	NA	NA
"98b2195ffcf76dee8d3f5d87bccaec02"	138.039373008388	-1.82216172852104	1.21544580571707	-1.49917151381837	0.133829142994222	0.390335000399813	"Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelatoclostridiaceae"	NA	NA
"f99a49bf7212c63eca1a3dd6ecc6689d"	631.955686012693	-0.945522281533215	0.666681962565356	-1.41825088216711	0.156117531332163	0.42031643050967	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	NA	NA
"ab913722bccf4e7df262a55296d775fd"	575.963912753042	0.629015166119839	0.754961083881882	0.833175616000694	0.404745692548972	0.674576154248287	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	NA	NA
"631ccbc21725ae65368c1693527ca558"	1760.47964852474	-0.0563395443682342	0.759804606345894	-0.0741500431791093	0.940890996126568	0.980113208346569	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	NA	NA
"8de1695392d53943144051534b1c4f2d"	732.06532575739	2.15264046354873	0.785496762120309	2.74048292412824	0.00613489697325206	0.0536803485159555	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	NA	NA
"e772faea1af67cf6244a8e5cd05da838"	183.484246692291	-0.224909546118541	0.980932342891072	-0.229281405336959	0.818650204950538	0.924282489460285	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	NA	NA
"40ba5a801ad5c25eb67c9bf65dda376b"	9948.86263029976	0.128146562212798	0.357364694621423	0.358587639298144	0.719903595058989	0.899148834573452	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Muribaculaceae"	NA	NA
"2b850adab62cc026c4c4e0eb2dd76553"	5.82053802154483	6.77447951596854	3.41043774566094	1.98639588850071	0.046989382810447	0.205578549795706	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Marinifilaceae"	NA	NA
"822b6a8525fbd8e714889eb0904f8424"	884.979697886285	-1.41882862567216	1.976757106368	-0.71775567220752	0.472907949745602	0.719642532221568	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	NA	NA
"3e50de0a0f41217f2fd772e0f213213a"	8.00370738126031	5.05408331644883	1.90786939321931	2.64907196184988	0.00807131432529524	0.0564992002770667	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"[Eubacterium] coprostanoligenes group"	NA	NA
"4a173845f014068da99fea169d882cf9"	2.67475223597936	-0.022563295542142	2.24797368064411	-0.0100371706912854	0.991991630938423	0.991991630938423	"Bacteria"	"Firmicutes"	"Clostridia"	"Eubacteriales"	"Anaerofustaceae"	NA	NA
"86518fc4ffddf4387479baaefbaf4725"	22.4114076748007	-0.65836242813272	1.09205746260947	-0.602864272874035	0.546598985062209	0.765238579087093	"Bacteria"	"Firmicutes"	"Clostridia"	"Christensenellales"	"Christensenellaceae"	NA	NA
"0fc1162cd18c1dd8a5f0ce65306e9e41"	30.0166391677516	1.30405424430426	0.806632257892972	1.61666513029198	0.105950584689403	0.33711549673901	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Anaerovoracaceae"	NA	NA
"04158d02e19ada913b03c023877106c0"	889.427348674772	-1.96878850239051	0.764391383538008	-2.57562885295477	0.0100057984249342	0.0583671574787827	"Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	NA	NA
"2c907ab644297284d83614c0d2c40863"	29.5740492538199	-0.148663180989629	2.47535445665056	-0.06005733061389	0.952109973822382	0.980113208346569	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	NA	NA
